make,fuel-type,body style,curb-w8,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
9,31,43,1950,4,91,68,31,38,7395
9,31,42,2380,2,70,101,17,23,10945
9,31,42,2380,2,70,101,17,23,11845
9,31,42,2385,2,70,101,17,23,13645
9,31,42,2500,2,80,135,16,23,15645
9,31,42,2385,4,122,84,26,32,8845
9,31,43,2410,4,122,84,26,32,8495
9,31,42,2385,4,122,84,26,32,10595
9,31,43,2410,4,122,84,26,32,10245
9,32,43,2443,4,122,64,36,42,10795
9,31,42,2425,4,122,84,26,32,11245
9,31,43,2670,4,140,120,19,27,18280
9,32,43,2700,4,134,72,31,39,18344
10,32,43,3515,5,183,123,22,25,25552
10,32,44,3750,5,183,123,22,25,28248
10,32,45,3495,5,183,123,22,25,28176
10,32,43,3770,5,183,123,22,25,31600
10,31,43,3740,8,234,155,16,18,34184
10,31,41,3685,8,234,155,16,18,35056
10,31,43,3900,8,308,184,14,16,40960
10,31,45,3715,8,304,184,14,16,45400
11,31,42,2910,4,140,175,19,24,16503
12,31,42,1918,4,92,68,37,41,5389
12,31,42,1944,4,92,68,31,38,6189
12,31,42,2004,4,92,68,31,38,6669
12,31,42,2145,4,98,102,24,30,7689
12,31,42,2370,4,110,116,23,30,9959
12,31,42,2328,4,122,88,25,32,8499
12,31,42,2833,4,156,145,19,24,12629
12,31,42,2921,4,156,145,19,24,14869
12,31,42,2926,4,156,145,19,24,14489
12,31,43,2365,4,122,88,25,32,6989
12,31,43,2405,4,122,88,25,32,8189
12,31,43,2403,4,110,116,23,30,9279
12,31,43,2403,4,110,116,23,30,9279
13,31,43,1889,4,97,69,31,37,5499
13,32,43,2017,4,103,55,45,50,7099
13,31,43,1918,4,97,69,31,37,6649
13,31,43,1938,4,97,69,31,37,6849
13,31,44,2024,4,97,69,31,37,7349
13,31,43,1951,4,97,69,31,37,7299
13,31,42,2028,4,97,69,31,37,7799
13,31,43,1971,4,97,69,31,37,7499
13,31,44,2037,4,97,69,31,37,7999
13,31,45,2008,4,97,69,31,37,8249
13,31,42,2324,4,120,97,27,34,8949
13,31,43,2302,4,120,97,27,34,9549
13,31,43,3095,6,181,152,17,22,13499
13,31,44,3296,6,181,152,17,22,14399
13,31,43,3060,6,181,152,19,25,13499
13,31,42,3071,6,181,160,19,25,17199
13,31,42,3139,6,181,200,17,23,19699
13,31,42,3139,6,181,160,19,25,18399
14,31,43,3020,4,120,97,19,24,11900
14,32,43,3197,4,152,95,28,33,13200
14,31,44,3230,4,120,97,19,24,12440
14,32,44,3430,4,152,95,25,25,13860
14,31,43,3075,4,120,95,19,24,15580
14,32,43,3252,4,152,95,28,33,16900
14,31,44,3285,4,120,95,19,24,16695
14,32,44,3485,4,152,95,25,25,17075
14,31,43,3075,4,120,97,19,24,16630
14,32,43,3252,4,152,95,28,33,17950
14,31,43,3130,4,134,142,18,24,18150
15,31,42,1918,4,90,68,37,41,5572
15,31,42,2128,4,98,102,24,30,7957
15,31,42,1967,4,90,68,31,38,6229
15,31,43,1989,4,90,68,31,38,6692
15,31,43,2191,4,98,68,31,38,7609
15,31,44,2535,4,122,88,24,30,8921
15,31,42,2818,4,156,145,19,24,12764
16,31,42,2778,4,151,143,19,27,22018
16,31,45,2756,6,194,207,17,25,32528
16,31,45,2756,6,194,207,17,25,34028
16,31,41,2800,6,194,207,17,25,37028
16,31,42,3366,8,203,288,17,28,?
17,31,44,2579,4,132,?,23,31,9295
17,31,42,2460,4,132,?,23,31,9895
18,31,42,2658,4,121,110,21,28,11850
18,31,43,2695,4,121,110,21,28,12170
18,31,42,2707,4,121,110,21,28,15040
18,31,43,2758,4,121,110,21,28,15510
18,31,42,2808,4,121,160,19,26,18150
18,31,43,2847,4,121,160,19,26,18620
19,31,42,2050,4,97,69,31,36,5118
19,31,42,2120,4,108,73,26,31,7053
19,31,42,2240,4,108,73,26,31,7603
19,31,43,2145,4,108,82,32,37,7126
19,31,43,2190,4,108,82,28,33,7775
19,31,43,2340,4,108,94,26,32,9960
19,31,43,2385,4,108,82,24,25,9233
19,31,43,2510,4,108,111,24,29,11259
19,31,44,2290,4,108,82,28,32,7463
19,31,44,2455,4,108,94,25,31,10198
19,31,44,2420,4,108,82,23,29,8013
19,31,44,2650,4,108,111,23,23,11694
20,31,42,1985,4,92,62,35,39,5348
20,31,42,2040,4,92,62,31,38,6338
20,31,42,2015,4,92,62,31,38,6488
20,31,44,2280,4,92,62,31,37,6918
20,31,44,2290,4,92,62,27,32,7898
20,31,44,3110,4,92,62,27,32,8778
20,31,43,2081,4,98,70,30,37,6938
20,31,42,2109,4,98,70,30,37,7198
20,32,43,2275,4,110,56,34,36,7898
20,32,42,2275,4,110,56,38,47,7788
20,31,43,2094,4,98,70,38,47,7738
20,31,42,2122,4,98,70,28,34,8358
20,31,43,2140,4,98,70,28,34,9258
20,31,43,2169,4,98,70,29,34,8058
20,31,42,2204,4,98,70,29,34,8238
20,31,43,2265,4,98,112,26,29,9298
20,31,42,2300,4,98,112,26,29,9538
20,31,45,2540,4,146,116,24,30,8449
20,31,45,2536,4,146,116,24,30,9639
20,31,42,2551,4,146,116,24,30,9989
20,31,45,2679,4,146,116,24,30,11199
20,31,42,2714,4,146,116,24,30,11549
20,31,41,2975,4,146,116,24,30,17669
20,31,43,2326,4,122,92,29,34,8948
20,32,43,2480,4,110,73,30,33,10698
20,31,42,2414,4,122,92,27,32,9988
20,31,43,2414,4,122,92,27,32,10898
20,31,42,2458,4,122,92,27,32,11248
20,31,42,2976,6,171,161,20,24,16558
20,31,42,3016,6,171,161,19,24,15998
20,31,43,3131,6,171,156,20,24,15690
20,31,44,3151,6,161,156,19,24,15750
21,32,43,2261,4,97,52,37,46,7775
21,31,43,2209,4,109,85,27,34,7975
21,32,43,2264,4,97,52,37,46,7995
21,31,43,2212,4,109,85,27,34,8195
21,31,43,2275,4,109,85,27,34,8495
21,32,43,2319,4,97,68,37,42,9495
21,31,43,2300,4,109,100,26,32,9995
21,31,41,2254,4,109,90,24,29,11595
21,31,42,2221,4,109,90,24,29,9980
21,31,43,2661,5,136,110,19,24,13295
21,32,43,2579,4,97,68,33,38,13845
21,31,44,2563,4,109,88,25,31,12290
22,31,43,2912,4,141,114,23,28,12940
22,31,44,3034,4,141,114,23,28,13415
22,31,43,2935,4,141,114,24,28,15985
22,31,44,3042,4,141,114,24,28,16515
22,31,43,3045,4,130,162,17,22,18420
22,31,44,3157,4,130,162,17,22,18950
22,31,43,2952,4,141,114,23,28,16845
22,31,43,3049,4,141,160,19,25,19045
22,31,43,3012,6,173,134,18,23,21485
22,32,43,3217,6,145,106,26,27,22470
22,31,43,3062,4,141,114,19,25,22625
